Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
3,8.57,8.57,2,8.44,8.44,4,8.72,8.72,5,8.83,8.83,1,8.32,8.32
1,12.68,21.25,3,13.13,21.57,4,12.97,21.69,5,13.01,21.84,2,13.10,21.42
1,12.04,33.29,3,12.00,33.57,4,12.00,33.69,5,12.00,33.84,2,11.99,33.41
2,11.73,45.02,4,11.77,45.34,1,11.13,44.82,5,11.65,45.49,3,11.76,45.17
2,11.00,56.02,3,10.75,56.09,1,11.18,56.00,5,10.76,56.25,4,10.97,56.14
1,10.30,1:06.32,2,10.35,1:06.44,3,10.53,1:06.53,5,10.46,1:06.71,4,10.43,1:06.57
2,10.34,1:16.66,3,10.34,1:16.78,4,10.35,1:16.88,5,10.30,1:17.01,1,10.02,1:16.59
1,10.76,1:27.42,4,10.77,1:27.55,5,10.82,1:27.70,3,10.53,1:27.54,2,10.91,1:27.50
2,10.09,1:37.51,4,10.19,1:37.74,5,10.14,1:37.84,1,9.87,1:37.41,3,10.11,1:37.61
2,9.80,1:47.31,4,9.81,1:47.55,5,9.82,1:47.66,1,9.79,1:47.20,3,9.80,1:47.41
2,9.54,1:56.85,4,9.53,1:57.08,5,9.73,1:57.39,1,9.55,1:56.75,3,9.54,1:56.95
3,9.45,2:06.30,4,9.36,2:06.44,5,9.94,2:07.33,1,9.41,2:06.16,2,9.34,2:06.29
2,9.42,2:15.72,3,9.44,2:15.88,4,10.34,2:17.67,1,9.33,2:15.49,5,24.36,2:30.65
2,9.67,2:25.391,3,9.82,2:25.696,4,10.79,2:28.459,1,9.80,2:25.288,5,18.64,2:49.287
