Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME
1,14.07,14.07,3,14.32,14.32,2,14.13,14.13,4,14.45,14.45
3,10.69,24.76,1,10.32,24.65,2,10.52,24.65,4,10.33,24.79
4,10.24,35.01,1,10.02,34.68,2,10.10,34.75,3,10.20,35.00
4,10.04,45.06,1,10.07,44.75,2,10.09,44.85,3,9.99,44.99
4,9.47,54.53,2,9.55,54.31,1,9.28,54.13,3,9.45,54.44
2,9.07,1:03.60,3,9.28,1:03.60,1,9.31,1:03.45,4,9.16,1:03.61
4,9.46,1:13.07,2,9.25,1:12.85,1,9.35,1:12.80,3,9.32,1:12.93
4,9.36,1:22.43,2,9.41,1:22.27,1,9.34,1:22.15,3,9.44,1:22.38
4,9.79,1:32.213,1,9.42,1:31.684,2,9.65,1:31.794,3,9.49,1:31.867
