WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,13.93,13.93,1,13.80,13.80,4,14.27,14.27,3,14.09,14.09,5,14.37,14.37
3,10.69,24.62,2,10.71,24.51,5,10.67,24.94,4,10.64,24.73,1,10.09,24.46
3,10.09,34.71,2,10.05,34.56,5,10.07,35.01,4,10.13,34.86,1,10.07,34.53
2,9.60,44.31,1,9.71,44.27,5,9.58,44.59,4,9.62,44.48,3,9.83,44.36
1,9.23,53.54,4,9.50,53.77,5,9.23,53.82,3,9.23,53.71,2,9.29,53.65
1,9.26,1:02.80,5,9.49,1:03.26,4,9.31,1:03.13,3,9.29,1:03.00,2,9.25,1:02.90
2,9.13,1:11.93,5,8.96,1:12.22,4,8.98,1:12.11,3,9.02,1:12.02,1,8.94,1:11.84
3,9.12,1:21.05,4,8.94,1:21.16,4,9.05,1:21.16,2,8.94,1:20.96,1,9.00,1:20.84
3,8.98,1:30.03,4,8.97,1:30.13,5,9.28,1:30.44,2,8.99,1:29.95,1,9.03,1:29.87
