LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME
2,13.08,13.08,1,13.05,13.05,3,13.24,13.24
1,10.08,23.17,2,10.18,23.24,3,10.02,23.27
1,9.85,33.02,3,9.92,33.16,2,9.83,33.10
2,9.63,42.66,1,9.43,42.59,3,9.73,42.83
2,9.36,52.02,1,9.36,51.95,3,9.21,52.04
2,9.37,1:01.40,1,9.41,1:01.37,3,9.51,1:01.56
1,9.29,1:10.69,2,9.34,1:10.72,3,9.75,1:11.31
1,9.36,1:20.05,2,9.49,1:20.22,3,10.03,1:21.34
1,9.75,1:29.794,2,9.76,1:29.972,3,10.54,1:31.876
