Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,9.33,9.33,5,9.58,9.58,3,9.45,9.45,4,9.54,9.54,7,9.74,9.74,1,9.22,9.22,6,9.61,9.61
3,13.24,22.57,6,13.45,23.03,5,13.42,22.87,4,13.11,22.65,7,13.43,23.17,2,13.28,22.50,1,12.48,22.09
1,13.05,35.62,6,13.14,36.17,3,12.94,35.81,5,13.33,35.98,7,13.13,36.30,4,13.37,35.87,2,13.61,35.70
3,12.13,47.75,6,11.87,48.04,1,11.80,47.61,4,11.82,47.80,7,11.86,48.16,2,11.87,47.74,5,12.12,47.82
5,11.02,58.77,6,10.87,58.91,3,11.01,58.62,1,10.19,57.99,7,10.86,59.02,2,10.79,58.53,4,10.89,58.71
6,10.21,1:08.98,4,9.79,1:08.70,4,10.08,1:08.70,1,10.30,1:08.29,7,9.97,1:08.99,3,10.04,1:08.57,2,9.78,1:08.49
7,9.78,1:18.76,1,9.31,1:18.01,6,9.73,1:18.43,2,9.85,1:18.14,4,9.26,1:18.25,2,9.57,1:18.14,5,9.82,1:18.31
7,9.76,1:28.52,1,9.46,1:27.47,6,9.62,1:28.05,4,9.67,1:27.81,2,9.34,1:27.59,3,9.60,1:27.74,5,9.62,1:27.93
7,10.01,1:38.53,1,9.63,1:37.10,6,9.65,1:37.70,4,9.56,1:37.37,3,9.69,1:37.28,2,9.45,1:37.19,5,9.56,1:37.49
7,10.21,1:48.74,1,9.56,1:46.66,6,9.49,1:47.19,4,9.61,1:46.98,3,9.60,1:46.88,2,9.58,1:46.77,5,9.60,1:47.09
7,10.52,1:59.26,1,9.67,1:56.33,6,9.66,1:56.85,4,9.64,1:56.62,3,9.64,1:56.52,2,9.63,1:56.40,5,9.61,1:56.70
7,10.96,2:10.22,1,9.49,2:05.82,6,9.50,2:06.35,5,9.67,2:06.29,3,9.51,2:06.03,2,9.51,2:05.91,4,9.51,2:06.21
7,11.29,2:21.51,1,9.45,2:15.27,6,9.90,2:16.25,5,9.85,2:16.14,3,9.50,2:15.53,2,9.44,2:15.35,4,9.76,2:15.97
7,11.36,2:32.846,1,9.57,2:24.824,6,10.16,2:26.394,5,,2:26.020,3,9.79,2:25.309,2,9.59,2:24.921,4,,2:26.011
