Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,7.046,7.046,6,8.099,8.099,2,7.056,7.056,4,7.360,7.360,3,7.226,7.226,5,7.503,7.503
3,10.041,17.087,5,9.395,17.494,2,9.994,17.050,6,10.241,17.601,1,9.714,16.940,4,9.794,17.297
3,9.121,26.208,5,9.117,26.611,2,9.114,26.164,6,9.111,26.712,1,8.906,25.846,4,9.077,26.374
2,9.274,35.482,5,9.185,35.796,3,9.374,35.538,6,9.220,35.932,1,9.381,35.228,4,9.215,35.589
2,9.426,44.907,5,9.441,45.237,4,9.491,45.029,6,9.410,45.342,1,9.354,44.582,3,9.411,45.000
3,9.733,54.641,5,9.561,54.798,2,9.530,54.558,6,9.675,55.017,1,9.868,54.450,4,9.663,54.663
2,9.912,1:04.553,5,9.982,1:04.780,3,10.048,1:04.606,6,9.931,1:04.948,1,9.935,1:04.385,4,10.002,1:04.666
2,10.603,1:15.156,5,10.652,1:15.431,4,10.680,1:15.286,6,10.658,1:15.606,1,10.519,1:14.904,3,10.609,1:15.275
2,10.325,1:25.481,5,10.345,1:25.776,3,10.275,1:25.561,6,10.285,1:25.891,1,10.399,1:25.303,4,10.292,1:25.566
2,10.139,1:35.620,5,10.081,1:35.857,4,10.171,1:35.732,6,10.107,1:35.998,1,10.074,1:35.376,3,10.150,1:35.716
2,9.863,1:45.483,5,9.916,1:45.773,4,9.832,1:45.565,6,9.993,1:45.991,1,9.912,1:45.288,3,9.793,1:45.509
3,10.084,1:55.567,5,10.144,1:55.917,2,10.001,1:55.565,6,10.119,1:56.110,1,10.043,1:55.331,4,10.149,1:55.658
4,10.094,2:05.661,5,10.645,2:06.562,2,10.053,2:05.618,6,10.571,2:06.682,1,10.117,2:05.449,3,9.973,2:05.632
3,10.388,2:16.049,5,10.632,2:17.194,4,11.162,2:16.780,6,10.670,2:17.352,2,10.521,2:15.970,1,10.281,2:15.912
