WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME
1,8.35,8.35,2,8.44,8.44,4,8.55,8.55,5,8.58,8.58,3,8.52,8.52
2,10.92,19.27,3,10.92,19.36,5,11.03,19.58,4,10.89,19.47,1,10.60,19.12
1,10.30,29.57,3,10.39,29.75,5,10.42,30.00,4,10.43,29.90,2,10.52,29.64
1,10.46,40.03,2,10.36,40.11,5,10.42,40.42,4,10.41,40.31,3,10.57,40.21
1,10.59,50.62,2,10.60,50.71,4,10.43,50.85,3,10.50,50.81,5,10.68,50.89
1,10.68,1:01.30,2,10.69,1:01.40,4,10.73,1:01.58,3,10.69,1:01.50,5,10.79,1:01.68
1,10.53,1:11.83,2,10.52,1:11.92,4,10.51,1:12.09,3,10.44,1:11.94,5,10.48,1:12.16
1,9.99,1:21.82,4,10.21,1:22.13,3,9.95,1:22.04,2,9.96,1:21.90,5,10.00,1:22.16
1,9.55,1:31.37,3,9.42,1:31.55,4,9.59,1:31.63,2,9.54,1:31.44,5,9.74,1:31.90
1,9.41,1:40.78,3,9.42,1:40.97,4,9.56,1:41.19,2,9.40,1:40.84,5,9.52,1:41.42
1,9.46,1:50.24,3,9.46,1:50.43,4,9.84,1:51.03,2,9.44,1:50.28,5,9.76,1:51.18
2,9.14,1:59.38,3,9.02,1:59.45,4,10.39,2:01.42,1,8.95,1:59.23,5,10.58,2:01.76
2,9.07,2:08.45,3,9.09,2:08.54,4,11.10,2:12.52,1,9.02,2:08.25,5,12.72,2:14.48
2,9.09,2:17.54,3,9.05,2:17.59,4,11.69,2:24.21,1,9.15,2:17.40,5,13.87,2:28.35
