Hailey CHOI POSITION,Hailey CHOI LAP TIME,Hailey CHOI ELAPSED TIME,DALRYMPLE Georgie POSITION,DALRYMPLE Georgie LAP TIME,DALRYMPLE Georgie ELAPSED TIME,Elisa CONFORTOLA POSITION,Elisa CONFORTOLA LAP TIME,Elisa CONFORTOLA ELAPSED TIME
1,13.33,13.33,3,13.66,13.66,2,13.48,13.48
1,9.88,23.21,3,9.75,23.41,2,9.82,23.30
1,9.70,32.91,3,9.69,33.10,2,9.72,33.02
1,9.81,42.72,3,9.79,42.89,2,9.79,42.81
2,10.03,52.75,3,9.97,52.86,1,9.87,52.68
3,10.18,1:02.93,2,9.59,1:02.45,1,9.63,1:02.31
3,10.34,1:13.27,2,9.58,1:12.03,1,9.65,1:11.96
3,10.76,1:24.03,1,9.73,1:21.76,2,9.81,1:21.77
3,11.23,1:35.26,1,9.66,1:31.42,2,9.89,1:31.66
