Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
4,15.39,15.39,1,14.89,14.89,3,15.25,15.25,2,15.09,15.09
4,11.22,26.61,1,11.37,26.26,3,11.30,26.55,2,11.33,26.42
4,10.77,37.38,1,10.86,37.12,3,10.83,37.38,2,10.84,37.26
3,10.65,48.03,1,10.65,47.77,4,10.79,48.17,2,10.63,47.89
2,10.30,58.33,3,10.57,58.34,4,10.36,58.53,1,10.27,58.16
2,10.31,1:08.64,3,10.45,1:08.79,4,10.41,1:08.94,1,10.36,1:08.52
2,10.22,1:18.86,3,10.29,1:19.08,4,10.29,1:19.23,1,10.18,1:18.70
2,9.89,1:28.75,3,10.24,1:29.32,4,10.26,1:29.49,1,9.94,1:28.64
2,9.93,1:38.678,3,10.51,1:39.828,4,10.52,1:40.005,1,9.94,1:38.580
