AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Kazuya MATSUDAIRA POSITION,Kazuya MATSUDAIRA LAP TIME,Kazuya MATSUDAIRA ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME
2,13.48,13.48,1,13.34,13.34,3,13.60,13.60,4,13.71,13.71
3,10.23,23.71,1,10.27,23.61,2,10.10,23.70,4,10.20,23.91
3,10.32,34.03,1,10.19,33.80,2,10.20,33.90,4,10.25,34.16
3,10.06,44.09,1,10.07,43.87,2,10.07,43.97,4,10.06,44.22
2,9.49,53.58,3,9.74,53.61,1,9.55,53.52,4,9.76,53.98
2,9.49,1:03.07,3,9.59,1:03.20,1,9.47,1:02.99,4,9.63,1:03.61
1,9.39,1:12.46,3,9.43,1:12.63,2,9.63,1:12.62,4,9.76,1:13.37
1,9.38,1:21.84,3,9.46,1:22.09,2,9.34,1:21.96,4,10.10,1:23.47
1,9.42,1:31.258,2,9.25,1:31.339,3,9.40,1:31.358,4,10.39,1:33.860
