Chika ISHIDA POSITION,Chika ISHIDA LAP TIME,Chika ISHIDA ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
3,13.19,13.19,1,12.83,12.83,2,12.86,12.86,4,13.28,13.28
2,10.40,23.59,1,10.57,23.40,3,10.79,23.65,4,10.44,23.72
3,10.35,33.95,1,10.38,33.78,2,10.17,33.82,4,10.42,34.14
3,10.26,44.21,1,10.22,44.01,2,10.36,44.18,4,10.19,44.34
3,10.12,54.33,1,10.09,54.10,2,10.13,54.31,4,10.20,54.54
3,10.04,1:04.38,1,10.15,1:04.25,2,9.98,1:04.30,4,9.90,1:04.45
3,9.84,1:14.22,1,9.74,1:14.00,2,9.76,1:14.07,4,9.92,1:14.37
2,9.97,1:24.20,1,9.64,1:23.64,3,10.17,1:24.24,4,9.98,1:24.35
4,10.30,1:34.498,2,10.08,1:33.720,1,9.21,1:33.447,3,10.09,1:34.439
