Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
3,13.359,13.359,4,13.482,13.482,2,13.198,13.198,1,12.715,12.715
2,10.407,23.765,4,10.512,23.993,3,10.629,23.827,1,10.418,23.132
3,10.583,34.348,4,10.393,34.386,2,10.329,34.155,1,10.840,33.972
3,9.742,44.089,4,9.713,44.099,2,9.820,43.975,1,9.718,43.690
4,9.765,53.853,3,9.679,53.778,2,9.531,53.505,1,9.670,53.360
4,9.402,1:03.255,3,9.468,1:03.246,2,9.365,1:02.870,1,9.174,1:02.534
4,9.293,1:12.548,3,9.178,1:12.423,2,8.988,1:11.857,1,9.158,1:11.691
3,9.301,1:21.849,4,9.482,1:21.904,2,9.137,1:20.994,1,9.177,1:20.868
3,9.56,1:31.408,4,10.03,1:31.925,1,9.53,1:30.517,2,10.04,1:30.906
