CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,7.31,7.31,4,7.57,7.57,1,7.18,7.18,3,7.42,7.42,5,7.70,7.70
2,9.32,16.63,4,9.39,16.96,1,9.33,16.51,3,9.53,16.95,5,9.46,17.16
2,8.74,25.37,3,8.79,25.75,1,8.82,25.33,4,8.99,25.94,5,8.89,26.05
1,9.09,34.46,3,9.01,34.76,2,9.22,34.55,4,8.96,34.90,5,9.03,35.08
1,9.28,43.74,3,9.17,43.921,2,9.29,43.84,4,9.09,43.988,5,9.24,44.312
