Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
2,12.844,12.844,4,12.974,12.974,1,12.635,12.635,3,12.902,12.902
2,10.000,22.844,4,10.102,23.076,1,10.175,22.810,3,9.963,22.865
3,10.430,33.274,4,10.384,33.460,1,10.301,33.111,2,10.341,33.206
4,9.835,43.110,1,9.540,43.000,3,9.993,43.104,2,9.860,43.066
1,9.421,52.531,2,9.582,52.581,3,9.512,52.616,4,9.620,52.686
2,9.563,1:02.093,1,9.428,1:02.009,0,,,3,9.412,1:02.098
2,9.356,1:11.449,1,9.424,1:11.433,3,,1:11.460,4,9.374,1:11.472
1,8.649,1:20.098,2,8.957,1:20.390,4,9.507,1:20.966,3,9.151,1:20.623
1,9.089,1:29.187,2,9.402,1:29.792,4,10.611,1:31.577,3,9.194,1:29.816
