CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,AUSTRALIA POSITION,AUSTRALIA LAP TIME,AUSTRALIA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
2,12.384,12.384,4,12.685,12.685,1,12.017,12.017,3,12.496,12.496
2,9.646,22.030,4,9.780,22.464,1,9.670,21.686,3,9.674,22.169
2,9.430,31.460,4,9.322,31.786,1,9.486,31.172,3,9.320,31.489
2,9.563,41.022,4,9.751,41.536,1,9.679,40.850,3,9.600,41.088
2,9.679,50.700,4,9.828,51.364,1,9.586,50.436,3,9.719,50.807
2,9.918,1:00.618,4,9.560,1:00.923,1,9.912,1:00.347,3,9.913,1:00.720
3,9.748,1:10.365,4,14.689,1:15.612,1,9.852,1:10.198,2,9.569,1:10.288
1,9.517,1:19.882,4,10.820,1:26.432,2,9.756,1:19.954,3,9.860,1:20.148
1,9.569,1:29.451,4,9.447,1:35.879,2,9.550,1:29.503,3,9.541,1:29.688
1,9.309,1:38.759,4,9.331,1:45.209,2,9.520,1:39.023,3,9.628,1:39.316
1,9.495,1:48.254,4,9.514,1:54.722,2,9.529,1:48.551,3,9.485,1:48.800
1,9.433,1:57.686,4,10.216,2:04.937,3,9.762,1:58.312,2,9.227,1:58.027
1,9.394,2:07.080,4,9.812,2:14.749,3,9.130,2:07.442,2,9.234,2:07.261
1,9.310,2:16.390,4,10.074,2:24.822,3,9.432,2:16.874,2,9.288,2:16.548
1,9.433,2:25.822,4,10.903,2:35.725,3,9.203,2:26.076,2,9.360,2:25.908
1,9.206,2:35.028,4,9.892,2:45.617,3,9.669,2:35.745,2,9.589,2:35.497
1,9.594,2:44.622,4,9.509,2:55.125,3,9.386,2:45.131,2,9.421,2:44.917
1,9.412,2:54.034,4,9.893,3:05.018,3,9.315,2:54.445,2,9.368,2:54.285
1,9.244,3:03.278,4,9.720,3:14.737,3,9.420,3:03.865,2,9.257,3:03.541
1,9.426,3:12.703,4,9.880,3:24.617,3,9.404,3:13.269,2,9.272,3:12.813
1,9.331,3:22.034,4,10.279,3:34.896,3,9.063,3:22.331,2,9.430,3:22.243
1,9.168,3:31.202,4,9.627,3:44.523,3,9.462,3:31.793,2,9.327,3:31.569
1,9.364,3:40.565,4,9.735,3:54.258,3,9.668,3:41.460,2,9.400,3:40.968
1,9.352,3:49.917,4,9.910,4:04.167,3,9.555,3:51.015,2,9.354,3:50.322
1,9.225,3:59.142,4,9.875,4:14.042,3,9.383,4:00.398,2,9.079,3:59.400
1,9.421,4:08.562,4,10.130,4:24.172,3,9.522,4:09.919,2,9.294,4:08.693
2,9.800,4:18.361,4,10.031,4:34.202,3,9.349,4:19.267,1,9.416,4:18.109
1,8.776,4:27.136,4,9.618,4:43.820,3,9.529,4:28.796,2,9.407,4:27.515
1,9.568,4:36.704,4,9.803,4:53.623,3,9.854,4:38.650,2,9.366,4:36.881
1,9.267,4:45.970,4,10.250,5:03.872,3,9.624,4:48.273,2,9.295,4:46.176
1,9.224,4:55.194,4,10.143,5:14.014,3,9.696,4:57.969,2,9.269,4:55.444
1,9.461,5:04.655,4,10.370,5:24.384,3,9.530,5:07.498,2,9.413,5:04.857
1,9.454,5:14.108,4,10.049,5:34.433,3,9.643,5:17.141,2,9.321,5:14.177
1,9.361,5:23.469,4,9.674,5:44.107,3,9.688,5:26.829,2,9.611,5:23.787
1,9.773,5:33.241,4,10.023,5:54.129,3,9.639,5:36.467,2,9.527,5:33.314
1,9.104,5:42.345,4,10.090,6:04.218,3,9.573,5:46.040,2,9.318,5:42.632
1,9.260,5:51.604,4,10.197,6:14.415,3,9.745,5:55.784,2,9.206,5:51.837
2,10.112,6:01.716,4,10.375,6:24.789,3,10.093,6:05.877,1,9.442,6:01.279
1,8.461,6:10.177,4,10.019,6:34.808,3,9.694,6:15.571,2,9.079,6:10.357
2,9.731,6:19.908,4,10.488,6:45.295,3,9.828,6:25.398,1,9.423,6:19.780
1,9.276,6:29.183,4,10.192,6:55.487,3,9.651,6:35.049,2,9.638,6:29.418
1,9.211,6:38.394,4,10.077,7:05.564,3,9.974,6:45.022,2,9.315,6:38.732
1,9.357,6:47.750,4,9.971,7:15.535,3,10.169,6:55.191,2,9.192,6:47.924
1,9.290,6:57.040,4,11.797,7:27.331,3,10.020,7:05.211,2,9.235,6:57.159
2,10.00,7:07.037,4,13.70,7:41.023,3,10.26,7:15.468,1,9.14,7:06.297
