Brandon KIM POSITION,Brandon KIM LAP TIME,Brandon KIM ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Hijiri IWASHITA POSITION,Hijiri IWASHITA LAP TIME,Hijiri IWASHITA ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME
4,13.57,13.57,3,13.49,13.49,2,13.45,13.45,5,13.77,13.77,1,13.37,13.37
4,9.85,23.42,3,9.91,23.40,1,9.74,23.19,5,9.86,23.63,2,9.92,23.29
5,10.06,33.48,3,9.83,33.23,1,9.79,32.98,4,9.73,33.36,2,9.72,33.01
5,9.11,42.59,3,9.05,42.28,2,9.20,42.18,4,9.11,42.47,1,9.08,42.09
4,8.90,51.49,2,9.06,51.34,5,9.36,51.54,3,8.94,51.41,1,8.98,51.07
3,8.80,1:00.29,2,8.82,1:00.16,5,9.02,1:00.56,4,9.00,1:00.41,1,8.89,59.96
3,8.73,1:09.02,1,8.61,1:08.77,5,8.82,1:09.38,4,8.77,1:09.18,2,8.91,1:08.87
3,8.84,1:17.86,1,8.88,1:17.65,5,8.87,1:18.25,4,8.84,1:18.02,2,8.89,1:17.76
3,9.11,1:26.97,1,9.06,1:26.71,5,9.37,1:27.62,4,8.97,1:26.99,2,9.16,1:26.92
