Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME
1,6.748,6.748,2,6.768,6.768,3,7.050,7.050,4,7.123,7.123
2,9.264,16.012,1,9.134,15.902,3,9.397,16.448,4,9.330,16.454
2,9.129,25.141,1,8.985,24.887,3,8.879,25.327,4,9.184,25.638
2,9.013,34.153,1,9.043,33.929,3,8.989,34.315,4,9.154,34.792
3,9.715,43.868,1,9.206,43.136,2,9.424,43.739,4,9.464,44.256
