Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Normans BEIKMANIS POSITION,Normans BEIKMANIS LAP TIME,Normans BEIKMANIS ELAPSED TIME
2,8.070,8.070,1,7.987,7.987,4,8.715,8.715,5,8.899,8.899,7,9.285,9.285,3,8.508,8.508,6,9.137,9.137
2,11.157,19.227,1,11.129,19.116,4,10.787,19.502,6,10.810,19.709,7,10.590,19.876,5,11.083,19.591,3,10.176,19.313
3,10.881,30.107,2,10.659,29.775,4,10.637,30.139,6,10.673,30.381,7,10.660,30.536,5,10.741,30.332,1,10.273,29.586
2,10.117,40.225,1,10.369,40.145,3,10.355,40.495,4,10.149,40.530,7,10.211,40.747,6,10.369,40.701,5,11.050,40.636
2,10.520,50.744,1,10.461,50.606,4,10.581,51.076,5,10.598,51.129,7,10.595,51.342,3,10.311,51.012,6,10.537,51.174
2,10.286,1:01.030,1,10.374,1:00.980,3,10.287,1:01.362,4,10.252,1:01.380,6,10.233,1:01.575,5,10.388,1:01.400,7,11.022,1:02.196
1,10.206,1:11.236,2,10.258,1:11.239,3,10.061,1:11.423,5,10.226,1:11.606,6,10.189,1:11.763,4,10.096,1:11.496,7,11.487,1:13.683
2,9.838,1:21.074,1,9.532,1:20.771,3,9.883,1:21.306,5,9.758,1:21.364,6,9.804,1:21.567,4,9.856,1:21.352,7,12.037,1:25.719
2,9.572,1:30.646,1,9.639,1:30.410,4,9.659,1:30.965,3,9.317,1:30.681,5,9.448,1:31.016,6,10.024,1:31.376,7,13.380,1:39.099
4,9.731,1:40.377,1,9.727,1:40.137,5,9.940,1:40.904,3,9.600,1:40.281,2,9.228,1:40.244,6,9.780,1:41.156,7,14.420,1:53.518
4,9.597,1:49.974,3,9.645,1:49.782,6,10.816,1:51.720,2,9.384,1:49.665,1,9.278,1:49.521,5,10.041,1:51.197,7,13.183,2:06.701
4,9.913,1:59.887,3,9.685,1:59.467,6,12.077,2:03.797,2,9.557,1:59.222,1,9.634,1:59.155,5,10.335,2:01.532,7,14.108,2:20.809
4,10.106,2:09.994,3,9.900,2:09.367,6,12.230,2:16.027,1,9.621,2:08.843,2,9.692,2:08.847,5,10.546,2:12.078,7,13.078,2:33.887
4,10.505,2:20.498,3,10.718,2:20.085,6,12.608,2:28.635,2,10.069,2:18.912,1,9.956,2:18.803,5,11.212,2:23.291,7,13.016,2:46.902
