CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME
4,14.778,14.778,1,14.343,14.343,2,14.629,14.629,3,14.692,14.692
4,11.542,26.320,1,11.657,25.999,2,11.597,26.225,3,11.544,26.235
4,11.497,37.817,1,11.332,37.330,2,11.453,37.677,3,11.469,37.704
4,10.850,48.666,1,10.922,48.252,2,10.863,48.540,3,10.877,48.581
3,10.107,58.772,1,10.287,58.539,2,10.170,58.710,4,10.226,58.806
4,10.120,1:08.892,2,10.225,1:08.763,1,10.051,1:08.760,3,10.030,1:08.836
2,9.913,1:18.805,3,10.050,1:18.813,1,10.011,1:18.770,4,10.235,1:19.071
1,9.682,1:28.486,2,10.226,1:29.039,3,10.303,1:29.073,4,10.214,1:29.285
1,10.65,1:39.128,3,10.59,1:39.620,2,10.45,1:39.518,4,10.51,1:39.789
