Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Alexander MERRIMAN POSITION,Alexander MERRIMAN LAP TIME,Alexander MERRIMAN ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Roman IZBICKI POSITION,Roman IZBICKI LAP TIME,Roman IZBICKI ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME
0,8.286,8.286,0,8.591,8.591,0,8.290,8.290,0,11.623,11.623,0,8.516,8.516,0,8.479,8.479
0,11.334,19.620,0,11.368,19.959,0,11.659,19.950,0,8.013,19.636,0,10.882,19.398,0,11.371,19.850
0,10.636,30.256,0,10.468,30.428,0,10.614,30.564,0,10.427,30.062,0,10.690,30.087,0,10.645,30.495
0,10.410,40.666,0,10.509,40.936,0,10.675,41.239,0,10.754,40.816,0,10.418,40.505,0,10.445,40.940
0,10.263,50.929,0,10.222,51.158,0,10.219,51.457,0,10.010,50.826,0,10.236,50.741,0,10.254,51.194
0,10.204,1:01.133,0,10.165,1:01.323,0,10.120,1:01.577,0,10.304,1:01.130,0,10.351,1:01.092,0,10.162,1:01.356
0,10.671,1:11.804,0,10.765,1:12.088,0,10.737,1:12.315,0,10.995,1:12.125,0,10.667,1:11.759,0,10.702,1:12.059
0,10.504,1:22.307,0,10.343,1:22.431,0,10.481,1:22.795,0,10.041,1:22.166,0,10.320,1:22.079,0,10.343,1:22.402
0,10.184,1:32.491,0,10.205,1:32.635,0,10.237,1:33.033,0,10.257,1:32.423,0,10.245,1:32.324,0,10.350,1:32.752
0,10.022,1:42.513,0,9.412,1:42.048,0,9.945,1:42.978,0,10.610,1:43.033,0,9.968,1:42.292,0,10.063,1:42.815
0,9.324,1:51.837,0,9.435,1:51.482,0,10.359,1:53.337,0,8.896,1:51.929,0,9.306,1:51.598,0,9.094,1:51.909
0,21.485,2:13.322,0,9.400,2:00.883,0,10.343,2:03.680,0,9.282,2:01.210,0,10.839,2:02.437,0,9.128,2:01.037
0,24.046,2:37.369,0,9.602,2:10.485,0,10.671,2:14.351,0,11.757,2:12.967,0,29.299,2:31.736,0,9.777,2:10.814
0,15.756,2:53.124,0,9.859,2:20.344,0,,,0,22.850,2:35.817,0,15.279,2:47.015,0,10.591,2:21.405
