Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME
6,8.961,8.961,3,8.590,8.590,5,8.660,8.660,4,8.600,8.600,1,8.413,8.413,2,8.483,8.483
3,10.952,19.913,5,11.352,19.942,4,11.272,19.931,2,11.305,19.904,1,11.461,19.873,6,11.627,20.110
3,10.473,30.385,5,10.558,30.500,1,9.932,29.862,4,10.511,30.414,2,10.330,30.202,6,10.493,30.603
4,10.710,41.095,6,10.721,41.220,1,10.910,40.772,5,10.778,41.192,2,10.774,40.976,3,10.380,40.983
5,10.968,52.063,3,10.763,51.983,1,11.031,51.803,6,11.117,52.308,2,10.958,51.933,4,11.074,52.057
4,10.514,1:02.576,1,10.192,1:02.174,3,10.670,1:02.472,6,10.317,1:02.625,2,10.317,1:02.250,5,10.561,1:02.617
3,9.684,1:12.260,4,10.177,1:12.351,2,9.760,1:12.232,5,10.070,1:12.694,1,9.791,1:12.041,6,10.148,1:12.765
3,10.095,1:22.355,4,10.303,1:22.653,1,9.819,1:22.050,5,10.015,1:22.708,2,10.304,1:22.344,6,9.989,1:22.753
3,10.241,1:32.596,4,10.197,1:32.850,1,10.167,1:32.217,5,10.336,1:33.044,2,10.025,1:32.369,6,10.328,1:33.081
3,9.737,1:42.332,4,9.733,1:42.582,2,9.889,1:42.105,6,10.032,1:43.076,1,9.670,1:42.039,5,9.930,1:43.011
3,9.570,1:51.902,4,9.552,1:52.133,1,9.511,1:51.616,6,10.158,1:53.233,2,9.703,1:51.742,5,10.025,1:53.035
3,9.552,2:01.454,4,9.892,2:02.025,2,9.670,2:01.285,5,10.127,2:03.360,1,9.541,2:01.282,6,10.497,2:03.532
3,9.767,2:11.221,4,10.292,2:12.316,2,9.537,2:10.822,5,10.603,2:13.962,1,9.540,2:10.821,6,10.912,2:14.443
6,26.04,2:37.255,3,10.60,2:22.909,2,11.12,2:21.941,4,11.16,2:25.119,1,10.11,2:20.926,5,11.39,2:25.824
