Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,13.37,13.37,3,13.39,13.39,1,13.36,13.36,4,13.67,13.67
2,10.32,23.69,3,10.43,23.82,1,10.23,23.59,4,10.26,23.93
1,9.86,33.55,3,9.99,33.81,2,10.08,33.67,4,9.97,33.90
1,9.72,43.27,3,9.66,43.47,2,9.68,43.35,4,9.70,43.60
2,9.34,52.61,3,9.29,52.76,1,9.17,52.52,4,9.26,52.86
2,9.18,1:01.79,3,9.12,1:01.88,1,9.19,1:01.71,4,9.11,1:01.97
3,9.17,1:10.96,2,9.05,1:10.93,1,9.20,1:10.91,4,9.18,1:11.15
3,9.05,1:20.01,1,8.69,1:19.62,4,9.24,1:20.15,2,8.68,1:19.83
3,8.71,1:28.713,1,8.92,1:28.537,4,9.69,1:29.838,2,8.79,1:28.616
