Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME
1,13.11,13.11,2,13.23,13.23,3,13.36,13.36,4,13.50,13.50,5,13.61,13.61
1,9.89,23.00,2,9.88,23.11,3,9.83,23.19,4,9.79,23.29,5,9.77,23.38
1,9.77,32.77,2,9.73,32.84,4,9.85,33.04,3,9.65,32.94,5,9.77,33.15
1,9.67,42.44,1,9.60,42.44,3,9.60,42.64,4,9.84,42.78,5,9.69,42.84
2,9.51,51.95,1,9.41,51.85,3,9.40,52.04,4,9.32,52.10,5,9.34,52.18
2,9.65,1:01.60,1,9.58,1:01.43,3,9.70,1:01.74,4,9.70,1:01.80,5,9.71,1:01.89
2,9.46,1:11.06,1,9.37,1:10.80,3,9.50,1:11.24,4,9.45,1:11.25,5,9.50,1:11.39
3,9.67,1:20.73,1,9.35,1:20.15,5,9.94,1:21.18,2,9.40,1:20.65,4,9.64,1:21.03
4,9.99,1:30.726,1,9.45,1:29.60,5,10.94,1:32.120,2,9.50,1:30.15,0,9.69,1:30.72
