Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
2,16.168,16.168,3,16.274,16.274,4,16.443,16.443,1,0.200,0.200
1,12.393,28.561,2,12.508,28.782,3,12.355,28.797,4,28.730,28.929
1,10.967,39.527,3,11.055,39.837,2,10.850,39.646,4,10.979,39.908
1,10.519,50.046,3,10.436,50.272,2,10.405,50.051,4,10.410,50.317
2,10.259,1:00.304,4,10.245,1:00.516,1,10.170,1:00.220,3,10.116,1:00.433
2,10.071,1:10.375,3,9.941,1:10.457,1,9.994,1:10.214,4,24.305,1:24.737
3,10.262,1:20.636,2,9.874,1:20.330,1,10.084,1:20.297,4,15.080,1:39.817
3,10.037,1:30.673,1,9.755,1:30.085,2,10.090,1:30.387,4,13.134,1:52.950
3,10.03,1:40.703,1,10.21,1:40.292,2,10.20,1:40.580,4,0.07,1:53.013
