Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,13.101,13.101,2,13.243,13.243,3,13.292,13.292,4,13.555,13.555
2,10.081,23.182,4,10.077,23.320,3,9.996,23.289,1,9.622,23.177
2,9.236,32.418,3,9.143,32.463,4,9.279,32.568,1,9.132,32.309
2,9.421,41.838,3,9.566,42.029,4,9.586,42.153,1,9.509,41.819
2,9.651,51.490,3,9.622,51.652,4,9.565,51.718,1,9.634,51.453
1,9.168,1:00.657,3,9.105,1:00.757,4,9.184,1:00.902,2,9.274,1:00.727
1,9.247,1:09.904,2,9.353,1:10.109,4,9.388,1:10.290,3,9.501,1:10.227
1,9.128,1:19.032,2,9.052,1:19.161,3,8.977,1:19.266,4,9.238,1:19.465
1,9.302,1:28.334,2,9.340,1:28.501,3,9.286,1:28.552,4,9.639,1:29.104
