HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME
5,11.59,11.59,1,10.95,10.95,3,11.17,11.17,4,11.38,11.38,2,11.09,11.09
5,16.85,28.44,3,17.04,27.99,1,16.64,27.81,4,16.72,28.10,2,16.89,27.98
5,16.04,44.48,4,16.29,44.28,1,16.08,43.89,3,16.06,44.16,2,16.05,44.03
5,17.04,1:01.52,4,17.03,1:01.31,1,16.92,1:00.81,3,16.96,1:01.12,2,16.95,1:00.98
5,15.15,1:16.67,4,15.21,1:16.52,1,15.13,1:15.94,3,15.19,1:16.31,2,15.18,1:16.16
1,11.48,1:28.15,4,11.85,1:28.37,2,12.33,1:28.27,5,12.25,1:28.56,3,12.18,1:28.34
1,11.04,1:39.19,4,11.16,1:39.53,2,11.06,1:39.33,5,11.00,1:39.56,3,11.02,1:39.36
3,9.99,1:49.18,5,9.79,1:49.32,4,9.92,1:49.25,2,9.60,1:49.16,1,9.69,1:49.05
4,17.24,2:06.42,3,9.85,1:59.17,2,9.83,1:59.08,5,18.67,2:07.83,1,9.81,1:58.86
4,15.23,2:21.65,3,9.60,2:08.77,2,9.60,2:08.68,5,18.36,2:26.19,1,9.64,2:08.50
4,12.36,2:34.01,3,9.85,2:18.62,2,9.69,2:18.37,5,14.50,2:40.69,1,9.73,2:18.23
4,13.46,2:47.47,3,9.42,2:28.04,1,9.45,2:27.82,5,12.54,2:53.23,2,9.73,2:27.96
4,11.76,2:59.23,3,9.43,2:37.47,1,9.11,2:36.93,5,11.30,3:04.53,2,9.36,2:37.32
4,11.43,3:10.66,3,9.77,2:47.24,1,9.41,2:46.34,5,10.74,3:15.27,2,9.48,2:46.80
