Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Elisabeth WITT POSITION,Elisabeth WITT LAP TIME,Elisabeth WITT ELAPSED TIME,Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
1,8.76,8.76,3,8.92,8.92,6,9.15,9.15,5,9.02,9.02,2,8.84,8.84,4,8.96,8.96
2,12.58,21.34,4,12.59,21.51,5,12.37,21.52,6,12.58,21.60,3,12.58,21.42,1,12.27,21.23
5,11.35,32.69,6,11.34,32.85,1,10.99,32.51,4,11.02,32.62,3,11.19,32.61,2,11.37,32.60
1,10.38,43.07,4,10.43,43.28,3,10.68,43.19,2,10.48,43.10,6,10.88,43.49,5,10.81,43.41
1,10.23,53.30,2,10.16,53.44,4,10.37,53.56,3,10.45,53.55,5,10.18,53.67,6,10.42,53.83
1,10.55,1:03.85,2,10.53,1:03.97,3,10.47,1:04.03,5,10.75,1:04.30,4,10.47,1:04.14,6,10.56,1:04.39
1,10.78,1:14.63,2,10.75,1:14.72,3,10.80,1:14.83,5,10.74,1:15.04,4,10.79,1:14.93,6,10.80,1:15.19
1,10.60,1:25.23,2,10.64,1:25.36,3,10.58,1:25.41,5,10.55,1:25.59,4,10.54,1:25.47,6,10.53,1:25.72
1,10.02,1:35.25,2,10.01,1:35.37,4,10.08,1:35.49,5,10.24,1:35.83,3,10.02,1:35.49,6,10.28,1:36.00
1,9.97,1:45.22,2,9.94,1:45.31,3,10.11,1:45.60,5,10.56,1:46.39,4,10.70,1:46.19,6,10.50,1:46.50
1,10.09,1:55.31,2,10.03,1:55.34,3,9.95,1:55.55,5,10.64,1:57.03,4,10.47,1:56.66,6,10.69,1:57.19
2,10.25,2:05.56,1,10.09,2:05.43,3,10.15,2:05.70,5,10.88,2:07.91,4,10.79,2:07.45,6,10.85,2:08.04
2,10.39,2:15.95,1,10.45,2:15.88,3,10.40,2:16.10,5,10.66,2:18.57,4,11.03,2:18.48,6,10.88,2:18.92
2,10.66,2:26.610,1,10.60,2:26.475,0,,PEN,3,10.73,2:29.295,4,11.14,2:29.619,5,11.05,2:29.965
