WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME
2,6.87,6.87,3,7.11,7.11,4,7.26,7.26,1,6.77,6.77,5,7.43,7.43
2,9.09,15.96,3,8.89,16.00,4,8.93,16.19,1,8.71,15.48,5,8.98,16.41
4,8.96,24.92,2,8.63,24.63,3,8.48,24.67,1,8.37,23.85,5,8.54,24.95
5,8.91,33.83,3,8.85,33.48,2,8.69,33.36,1,8.59,32.44,4,8.61,33.56
3,9.03,42.86,4,9.65,43.13,2,8.82,42.18,1,8.81,41.25,5,29.39,1:02.95
