CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
2,10.23,10.23,5,10.48,10.48,3,10.34,10.34,4,10.34,10.34,1,10.03,10.03
1,14.45,24.68,5,14.77,25.25,4,14.76,25.10,2,14.47,24.81,3,14.90,24.93
1,13.11,37.79,5,13.05,38.30,4,13.09,38.19,2,13.12,37.93,3,13.13,38.06
1,12.52,50.31,5,12.33,50.63,4,12.37,50.56,3,12.48,50.41,2,12.26,50.32
3,11.95,1:02.26,5,11.88,1:02.51,4,11.89,1:02.45,2,11.77,1:02.18,1,11.84,1:02.16
3,11.11,1:13.37,4,10.94,1:13.45,5,11.06,1:13.51,2,11.07,1:13.25,1,11.05,1:13.21
3,10.05,1:23.42,1,9.74,1:23.19,5,10.17,1:23.68,4,10.27,1:23.52,2,10.07,1:23.28
3,10.00,1:33.42,1,10.00,1:33.19,5,9.95,1:33.63,4,9.93,1:33.45,2,10.02,1:33.30
3,9.54,1:42.96,1,9.56,1:42.75,5,9.60,1:43.23,4,9.66,1:43.11,2,9.56,1:42.86
3,9.27,1:52.23,1,9.25,1:52.00,5,9.41,1:52.64,4,9.34,1:52.45,2,9.27,1:52.13
3,9.11,2:01.34,1,9.08,2:01.08,5,9.37,2:02.01,4,9.18,2:01.63,2,9.06,2:01.19
3,9.17,2:10.51,1,9.10,2:10.18,5,9.65,2:11.66,4,9.46,2:11.09,2,9.18,2:10.37
3,9.41,2:19.92,1,9.28,2:19.46,5,10.13,2:21.79,4,9.65,2:20.74,2,9.53,2:19.90
2,9.56,2:29.480,1,9.64,2:29.099,5,10.80,2:32.587,4,10.12,2:30.853,3,9.99,2:29.883
