Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,12.69,12.69,2,12.75,12.75,3,12.82,12.82,4,12.91,12.91
1,10.36,23.05,3,10.43,23.18,2,10.24,23.06,4,10.40,23.31
1,9.66,32.71,3,9.68,32.86,2,9.66,32.72,4,9.66,32.97
1,9.59,42.30,3,9.55,42.41,2,9.69,42.41,4,9.56,42.53
2,9.36,51.66,1,9.03,51.44,4,9.33,51.74,3,9.17,51.70
2,9.09,1:00.75,1,9.02,1:00.46,4,9.28,1:01.02,3,9.18,1:00.88
2,9.03,1:09.78,1,9.23,1:09.69,4,8.96,1:09.98,3,9.03,1:09.91
3,9.45,1:19.23,1,9.40,1:19.09,4,9.39,1:19.37,2,9.28,1:19.19
2,9.68,1:28.909,1,9.75,1:28.837,3,9.87,1:29.238,4,11.20,1:30.390
