Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
4,9.29,9.29,5,9.46,9.46,2,8.96,8.96,3,9.10,9.10,1,8.94,8.94,6,9.60,9.60
2,12.37,21.66,5,12.55,22.01,1,12.61,21.57,4,12.79,21.89,3,12.79,21.73,6,12.55,22.15
2,11.68,33.34,4,11.50,33.51,1,11.64,33.21,6,11.74,33.63,3,11.70,33.43,5,11.39,33.54
2,10.34,43.68,4,10.39,43.90,3,10.61,43.82,6,10.50,44.13,5,10.58,44.01,1,10.01,43.55
2,9.99,53.67,4,9.88,53.78,3,9.91,53.73,6,9.88,54.01,5,9.91,53.92,1,10.02,53.57
1,9.98,1:03.65,5,10.14,1:03.92,4,10.09,1:03.82,6,10.00,1:04.01,3,9.87,1:03.79,2,10.16,1:03.73
2,9.72,1:13.37,4,9.65,1:13.57,6,9.97,1:13.79,5,9.68,1:13.69,1,9.47,1:13.26,3,9.74,1:13.47
3,9.72,1:23.09,4,9.59,1:23.16,6,9.55,1:23.34,5,9.58,1:23.27,1,9.77,1:23.03,2,9.61,1:23.08
3,9.80,1:32.89,4,9.83,1:32.99,6,9.81,1:33.15,5,9.80,1:33.07,1,9.66,1:32.69,2,9.69,1:32.77
4,9.71,1:42.60,5,9.72,1:42.71,6,17.82,1:50.97,2,9.39,1:42.46,1,9.73,1:42.42,3,9.72,1:42.49
4,9.26,1:51.86,5,9.23,1:51.94,6,13.13,2:04.10,1,8.78,1:51.24,2,9.29,1:51.71,3,9.31,1:51.80
3,9.07,2:00.93,5,9.16,2:01.10,6,10.48,2:14.58,1,8.82,2:00.06,2,9.13,2:00.84,4,9.13,2:00.93
3,9.19,2:10.12,4,9.25,2:10.35,6,10.80,2:25.38,1,9.09,2:09.15,2,9.27,2:10.11,5,9.71,2:10.64
2,9.23,2:19.346,3,9.11,2:19.453,6,11.11,2:36.485,1,9.64,2:18.782,4,9.52,2:19.626,5,9.91,2:20.543
