Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Sherry STUTHRIDGE POSITION,Sherry STUTHRIDGE LAP TIME,Sherry STUTHRIDGE ELAPSED TIME
2,9.045,9.045,4,9.272,9.272,1,8.927,8.927,3,9.066,9.066,5,9.503,9.503
3,13.859,22.903,4,13.912,23.183,1,13.886,22.812,2,13.821,22.887,5,13.800,23.302
3,11.655,34.558,4,11.567,34.750,1,11.635,34.447,2,11.644,34.531,5,11.774,35.076
4,12.082,46.639,3,11.698,46.448,2,11.866,46.313,1,11.737,46.268,5,11.631,46.707
1,11.696,58.334,4,12.217,58.665,2,12.104,58.416,3,12.214,58.481,5,12.038,58.744
1,11.349,1:09.683,4,11.447,1:10.112,2,11.465,1:09.880,3,11.558,1:10.038,5,12.087,1:10.831
2,10.288,1:19.971,4,9.880,1:19.992,1,10.054,1:19.933,3,9.935,1:19.972,5,12.099,1:22.930
4,11.071,1:31.041,1,10.033,1:30.024,2,10.117,1:30.050,3,10.169,1:30.141,5,12.600,1:35.529
4,10.156,1:41.197,3,10.891,1:40.915,1,10.782,1:40.831,2,10.745,1:40.885,5,13.101,1:48.630
4,10.896,1:52.093,3,10.977,1:51.892,1,10.802,1:51.633,2,10.877,1:51.762,5,14.858,2:03.488
1,10.574,2:02.666,4,11.079,2:02.970,2,11.146,2:02.779,3,11.152,2:02.913,5,13.594,2:17.081
1,10.463,2:13.129,4,10.586,2:13.556,2,10.495,2:13.273,3,10.374,2:13.287,5,13.872,2:30.953
1,10.366,2:23.494,4,10.563,2:24.118,3,10.340,2:23.613,2,10.301,2:23.587,5,13.947,2:44.900
1,10.57,2:34.064,4,11.26,2:35.376,3,11.44,2:35.052,2,10.61,2:34.193,5,14.41,2:59.303
