Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
1,7.321,7.321,2,7.475,7.475,3,7.576,7.576,4,7.837,7.837
1,9.918,17.239,2,9.827,17.301,3,9.801,17.376,4,9.683,17.520
1,9.512,26.751,2,9.550,26.851,4,10.261,27.637,3,9.819,27.339
1,9.908,36.658,2,9.924,36.774,4,9.811,37.448,3,9.841,37.179
2,10.24,46.898,1,9.86,46.631,3,9.91,47.353,0,,DQ
