Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
3,9.18,9.18,6,9.49,9.49,1,9.00,9.00,4,9.36,9.36,2,9.10,9.10,5,9.38,9.38
1,12.51,21.69,6,12.79,22.28,3,12.81,21.81,5,12.80,22.16,4,12.85,21.95,2,12.34,21.72
2,11.16,32.85,6,11.06,33.34,3,11.20,33.01,5,11.10,33.26,4,11.18,33.13,1,11.11,32.83
1,11.31,44.16,5,11.18,44.52,3,11.36,44.37,4,11.19,44.45,6,11.40,44.53,2,11.43,44.26
1,11.14,55.30,6,11.15,55.67,2,11.02,55.39,5,11.07,55.52,4,10.90,55.43,3,11.16,55.42
2,9.99,1:05.29,6,10.18,1:05.85,3,10.03,1:05.42,5,10.21,1:05.73,1,9.75,1:05.18,4,10.28,1:05.70
2,10.05,1:15.34,5,9.84,1:15.69,3,10.06,1:15.48,4,9.87,1:15.60,1,10.09,1:15.27,6,10.21,1:15.91
1,9.67,1:25.01,5,9.73,1:25.42,3,9.75,1:25.23,4,9.72,1:25.32,2,9.85,1:25.12,6,10.37,1:26.28
1,9.77,1:34.78,5,9.71,1:35.13,3,9.72,1:34.95,4,9.71,1:35.03,2,9.73,1:34.85,6,10.65,1:36.93
1,9.83,1:44.61,5,9.89,1:45.02,3,9.88,1:44.83,4,9.89,1:44.92,2,9.89,1:44.74,6,11.06,1:47.99
1,9.86,1:54.47,5,9.73,1:54.75,4,9.83,1:54.66,3,9.70,1:54.62,2,9.78,1:54.52,6,11.59,1:59.58
3,9.85,2:04.32,4,9.64,2:04.39,5,9.94,2:04.60,2,9.68,2:04.30,1,9.64,2:04.16,6,11.68,2:11.26
4,9.94,2:14.26,3,9.57,2:13.96,5,10.24,2:14.84,2,9.61,2:13.91,1,9.68,2:13.84,6,12.79,2:24.05
4,10.32,2:24.577,3,9.85,2:23.803,5,10.80,2:25.634,2,9.88,2:23.783,1,9.90,2:23.735,6,13.02,2:37.068
