LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,13.35,13.35,5,13.57,13.57,3,13.46,13.46,4,13.54,13.54,1,13.32,13.32
1,9.85,23.20,5,9.93,23.50,4,9.87,23.33,3,9.77,23.31,2,9.91,23.23
1,9.64,32.84,5,9.65,33.15,4,9.73,33.06,2,9.58,32.89,3,9.73,32.96
2,9.49,42.33,5,9.54,42.69,3,9.41,42.47,1,9.43,42.32,4,9.63,42.59
2,9.22,51.55,5,9.15,51.84,3,9.21,51.68,1,9.15,51.47,4,9.17,51.76
2,8.98,1:00.53,5,8.98,1:00.82,3,8.96,1:00.64,1,8.99,1:00.46,4,8.97,1:00.73
2,8.82,1:09.35,5,8.88,1:09.70,3,8.84,1:09.48,1,8.80,1:09.26,4,8.86,1:09.59
2,8.71,1:18.06,5,8.77,1:18.47,3,8.63,1:18.11,1,8.72,1:17.98,4,8.69,1:18.28
4,9.06,1:27.12,5,8.81,1:27.265,0,,PHOTO,1,8.84,1:26.82,0,,PHOTO
