Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
0,,,2,13.70,13.70,1,13.42,13.42,3,13.95,13.95
1,0.00,23.65,3,10.33,24.03,2,10.45,23.87,4,10.24,24.19
1,10.19,33.85,3,10.13,34.17,2,10.17,34.04,4,10.28,34.48
1,9.71,43.56,2,9.55,43.72,3,9.68,43.73,4,9.51,43.99
3,9.76,53.33,1,9.55,53.28,2,9.54,53.28,4,9.82,53.81
2,9.90,1:03.23,1,9.93,1:03.21,3,9.97,1:03.26,4,9.83,1:03.65
3,10.07,1:13.31,1,10.01,1:13.23,2,10.04,1:13.31,4,9.98,1:13.63
3,10.11,1:23.43,1,10.06,1:23.30,2,10.03,1:23.34,4,10.10,1:23.73
3,11.97,1:35.397,1,10.20,1:33.494,2,10.25,1:33.588,0,,DQ
