Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,YANG Fei POSITION,YANG Fei LAP TIME,YANG Fei ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
2,9.16,9.16,5,9.44,9.44,4,9.38,9.38,1,9.11,9.11,6,9.64,9.64
1,12.51,21.67,2,12.25,21.69,5,12.59,21.97,3,12.60,21.71,6,12.53,22.17
1,10.96,32.63,2,11.01,32.70,3,10.83,32.80,4,11.21,32.92,6,10.93,33.10
2,11.47,44.10,1,11.37,44.07,3,11.35,44.15,4,11.30,44.22,6,11.47,44.57
4,10.61,54.71,1,10.44,54.51,2,10.45,54.60,3,10.42,54.64,6,10.37,54.94
3,10.27,1:04.98,2,10.38,1:04.89,4,10.38,1:04.98,1,10.18,1:04.82,6,10.38,1:05.32
1,9.56,1:14.54,3,9.86,1:14.75,5,9.88,1:14.86,2,9.85,1:14.67,6,9.69,1:15.01
2,9.40,1:23.94,4,9.35,1:24.10,5,9.35,1:24.21,3,9.36,1:24.03,6,9.33,1:24.34
2,9.39,1:33.33,4,9.35,1:33.45,5,9.35,1:33.56,3,9.35,1:33.38,6,9.34,1:33.68
4,9.57,1:42.90,2,9.17,1:42.62,5,9.35,1:42.91,3,9.44,1:42.82,6,9.39,1:43.07
6,9.84,1:52.74,2,9.18,1:51.80,4,9.39,1:52.30,3,9.43,1:52.25,5,9.34,1:52.41
6,10.35,2:03.09,2,9.30,2:01.10,3,9.38,2:01.68,4,9.53,2:01.78,5,9.48,2:01.89
6,10.64,2:13.73,2,9.43,2:10.53,3,9.48,2:11.16,5,9.93,2:11.71,4,9.67,2:11.56
5,10.97,2:24.698,1,9.49,2:20.020,3,9.87,2:21.029,6,31.89,2:43.595,4,10.07,2:21.625
