SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
2,14.64,14.64,3,14.66,14.66,4,14.81,14.81,1,14.38,14.38
2,10.62,25.26,4,10.87,25.53,3,10.63,25.44,1,10.80,25.18
2,10.44,35.70,4,10.42,35.95,3,10.37,35.81,1,10.42,35.60
1,10.14,45.84,4,10.15,46.10,3,10.17,45.98,2,10.27,45.87
1,9.52,55.36,4,9.66,55.76,2,9.48,55.46,3,9.70,55.57
1,9.36,1:04.72,4,9.32,1:05.08,2,9.39,1:04.85,3,9.42,1:04.99
1,9.07,1:13.79,4,9.06,1:14.14,2,9.04,1:13.89,3,9.06,1:14.05
1,8.76,1:22.55,4,8.77,1:22.91,2,8.72,1:22.61,3,8.77,1:22.82
1,8.77,1:31.32,3,8.63,1:31.518,2,8.80,1:31.41,4,8.93,1:31.729
