SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
2,8.74,8.74,1,8.60,8.60,3,8.80,8.80,6,9.33,9.33,4,8.95,8.95,5,9.14,9.14
3,12.30,21.04,1,12.17,20.77,2,12.03,20.83,6,12.14,21.47,4,12.26,21.21,5,12.20,21.34
3,12.09,33.13,1,12.10,32.87,2,12.10,32.93,6,12.02,33.49,5,12.11,33.32,4,11.83,33.17
3,12.05,45.18,1,12.14,45.01,2,12.19,45.12,6,12.13,45.62,5,12.15,45.47,4,12.09,45.26
4,11.35,56.53,2,11.30,56.31,1,11.08,56.20,6,11.29,56.91,5,11.33,56.80,3,11.26,56.52
4,11.02,1:07.55,2,10.93,1:07.24,1,10.96,1:07.16,6,10.86,1:07.77,5,10.84,1:07.64,3,10.84,1:07.36
4,10.81,1:18.36,1,10.68,1:17.92,2,10.86,1:18.02,6,10.82,1:18.59,5,10.84,1:18.48,3,10.83,1:18.19
1,9.93,1:28.29,2,10.46,1:28.38,3,10.55,1:28.57,6,10.34,1:28.93,5,10.36,1:28.84,4,10.51,1:28.70
1,10.26,1:38.55,2,10.25,1:38.63,3,10.16,1:38.73,5,9.96,1:38.89,6,10.14,1:38.98,4,10.07,1:38.77
1,10.24,1:48.79,2,10.22,1:48.85,3,10.21,1:48.94,5,10.17,1:49.06,6,10.37,1:49.35,4,10.28,1:49.05
1,9.55,1:58.34,2,9.62,1:58.47,4,9.67,1:58.61,3,9.44,1:58.50,6,9.45,1:58.80,5,9.59,1:58.64
1,9.32,2:07.66,6,9.73,2:08.20,5,9.58,2:08.19,2,9.26,2:07.76,4,9.29,2:08.09,3,9.35,2:07.99
1,9.07,2:16.73,6,9.58,2:17.78,5,9.53,2:17.72,2,9.07,2:16.83,3,8.76,2:16.85,4,9.03,2:17.02
1,9.08,2:25.806,5,9.42,2:27.201,6,9.73,2:27.450,4,9.27,2:26.097,2,9.00,2:25.847,3,9.01,2:26.029
