RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Petra JASIC POSITION,Petra JASIC LAP TIME,Petra JASIC ELAPSED TIME
1,13.47,13.47,2,13.55,13.55,4,13.81,13.81,3,13.69,13.69,5,14.66,14.66
1,10.09,23.56,2,10.15,23.70,4,10.16,23.97,3,10.15,23.84,5,10.54,25.20
1,9.81,33.37,2,9.77,33.47,4,9.71,33.68,3,9.72,33.56,5,10.42,35.62
1,9.59,42.96,2,9.63,43.10,4,9.67,43.35,3,9.66,43.22,5,10.51,46.13
2,9.51,52.47,1,9.35,52.45,4,9.41,52.76,3,9.42,52.64,5,10.67,56.80
3,9.57,1:02.04,1,9.32,1:01.77,4,9.56,1:02.32,2,9.29,1:01.93,5,11.10,1:07.90
3,9.51,1:11.55,1,9.43,1:11.20,4,9.81,1:12.13,2,9.51,1:11.44,5,11.57,1:19.47
3,9.77,1:21.32,1,9.67,1:20.87,4,10.67,1:22.80,2,9.73,1:21.17,5,12.49,1:31.96
3,10.00,1:31.32,1,10.10,1:30.97,4,11.42,1:34.22,2,10.10,1:31.27,5,12.22,1:44.18
