SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
3,13.58,13.58,2,13.47,,4,13.69,13.69,5,13.75,13.75,1,13.37,
3,10.23,23.81,4,10.47,,5,10.37,24.06,1,9.81,23.56,1,10.19,
3,9.41,33.22,4,9.39,,5,9.36,33.42,1,9.52,33.08,2,9.59,
3,10.15,43.37,4,18.85,,2,9.80,43.22,1,10.00,43.08,5,21.98,
3,9.78,53.15,4,13.63,,2,9.82,53.04,1,9.87,52.95,5,17.41,
3,9.50,1:02.65,4,12.32,,1,9.32,1:02.36,2,9.61,1:02.56,5,17.22,
3,9.47,1:12.12,4,14.89,,1,9.43,1:11.79,2,9.55,1:12.11,5,14.18,
2,9.41,1:21.53,4,12.46,,1,9.62,1:21.41,3,9.83,1:21.94,5,12.91,
2,9.65,1:31.18,4,11.24,,1,9.55,1:30.96,3,10.22,1:32.16,5,13.69,2:10.54
