Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,13.34,13.34,1,13.32,13.32,3,13.50,13.50,4,13.61,13.61
4,10.15,23.49,1,9.98,23.30,2,9.81,23.31,3,9.81,23.42
2,9.48,32.97,4,9.85,33.15,1,9.56,32.87,3,9.63,33.05
1,9.36,42.33,4,9.51,42.66,2,9.56,42.43,3,9.49,42.54
1,9.39,51.72,4,9.35,52.01,2,9.41,51.84,3,9.38,51.92
1,9.07,1:00.79,4,9.08,1:01.09,2,9.05,1:00.89,3,9.09,1:01.01
1,8.82,1:09.61,4,8.81,1:09.90,2,8.82,1:09.71,3,8.80,1:09.81
1,8.82,1:18.43,4,8.77,1:18.67,2,8.83,1:18.54,3,8.81,1:18.62
1,8.97,1:27.395,2,9.28,1:27.947,0,,PEN,0,,notime
