Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME
1,14.720,14.720,3,14.780,14.780,2,14.780,14.780
2,11.010,25.740,1,10.930,25.710,3,10.970,25.750
1,10.570,36.310,3,10.750,36.470,2,10.570,36.320
1,9.820,46.130,2,9.810,46.280,3,9.970,46.290
1,9.240,55.370,3,9.360,55.640,2,9.160,55.460
1,9.200,1:04.570,2,9.220,1:04.870,3,9.420,1:04.890
1,9.430,1:14.010,3,9.370,1:14.240,2,9.190,1:14.080
1,9.390,1:23.410,2,9.340,1:23.590,3,9.560,1:23.650
1,9.390,1:32.800,2,9.400,1:32.990,3,9.470,1:33.120
