KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
4,9.58,9.58,5,9.70,9.70,3,9.40,9.40,6,9.84,9.84,2,9.34,9.34,1,9.29,9.29
3,12.63,22.21,6,12.69,22.39,1,12.71,22.11,4,12.38,22.22,5,12.96,22.30,2,12.92,22.21
5,11.72,33.93,6,11.63,34.02,3,11.64,33.75,1,11.30,33.52,4,11.46,33.76,2,11.43,33.64
4,10.66,44.59,6,10.72,44.74,5,10.93,44.68,2,10.92,44.44,1,10.60,44.36,3,10.91,44.55
4,11.03,55.62,5,10.97,55.71,3,10.81,55.49,2,10.94,55.38,1,10.92,55.28,6,11.18,55.73
5,10.65,1:06.27,6,10.67,1:06.38,4,10.61,1:06.10,3,10.61,1:05.99,2,10.64,1:05.92,1,10.06,1:05.79
5,10.13,1:16.40,6,10.12,1:16.50,4,10.19,1:16.29,1,9.95,1:15.94,3,10.26,1:16.18,2,10.24,1:16.03
5,10.09,1:26.49,6,10.08,1:26.58,4,10.09,1:26.38,2,10.19,1:26.13,3,10.08,1:26.26,1,10.04,1:26.07
5,9.81,1:36.30,6,9.86,1:36.44,4,9.78,1:36.16,3,9.93,1:36.06,1,9.51,1:35.77,2,9.86,1:35.93
5,9.53,1:45.83,6,10.15,1:46.59,4,9.65,1:45.81,3,9.56,1:45.62,1,9.66,1:45.43,2,9.52,1:45.45
2,9.07,1:54.90,6,11.18,1:57.77,5,9.42,1:55.23,4,9.51,1:55.13,3,9.58,1:55.01,1,9.23,1:54.68
1,8.95,2:03.85,6,12.10,2:09.87,5,9.66,2:04.89,4,9.76,2:04.89,3,9.78,2:04.79,2,9.41,2:04.09
1,9.33,2:13.18,6,12.80,2:22.67,4,10.03,2:14.92,5,10.15,2:15.04,3,10.06,2:14.85,2,9.48,2:13.57
1,9.92,2:23.100,6,12.40,2:35.064,3,10.08,2:24.995,5,10.31,2:25.350,4,10.34,2:25.187,2,9.78,2:23.344
