LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
2,12.45,12.45,1,12.40,12.40,3,12.64,12.64,4,12.82,12.82
1,9.73,22.19,2,9.82,22.22,4,9.89,22.53,3,9.53,22.36
1,9.56,31.75,3,9.78,32.01,4,9.66,32.19,2,9.58,31.94
1,9.23,40.99,2,8.98,40.99,3,8.91,41.11,4,9.31,41.25
3,9.18,50.17,2,9.14,50.14,1,8.97,50.09,4,9.19,50.45
2,9.30,59.48,3,9.47,59.61,1,9.33,59.43,4,9.27,59.73
2,9.38,1:08.86,3,9.33,1:08.95,1,9.34,1:08.77,4,9.66,1:09.39
3,9.50,1:18.37,1,8.94,1:17.89,2,9.26,1:18.04,4,9.80,1:19.20
3,10.03,1:28.391,1,9.55,1:27.433,2,9.51,1:27.542,4,10.46,1:29.660
