Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
1,6.48,6.48,2,6.65,6.65,3,7.00,7.00,4,7.22,7.22
1,8.92,15.40,2,8.87,15.53,3,8.70,15.71,4,9.02,16.25
2,8.60,24.01,1,8.46,23.99,3,8.70,24.42,4,8.55,24.81
2,8.96,32.97,1,8.72,32.71,3,8.78,33.20,4,9.06,33.87
2,9.18,42.150,1,9.17,41.873,3,9.14,42.334,4,9.13,42.993
