Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Magdalena SZWAJLIK POSITION,Magdalena SZWAJLIK LAP TIME,Magdalena SZWAJLIK ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME
1,9.01,9.01,4,9.18,9.18,5,9.29,9.29,6,9.42,9.42,2,9.03,9.03,3,9.10,9.10
2,12.53,21.54,4,12.55,21.73,5,12.58,21.87,6,12.53,21.95,1,12.39,21.42,3,12.55,21.65
2,12.11,33.65,5,12.17,33.90,6,12.19,34.06,4,11.90,33.85,1,12.10,33.52,3,12.10,33.75
2,11.91,45.56,5,11.85,45.75,6,11.86,45.92,4,11.79,45.64,1,11.90,45.42,3,11.88,45.63
2,11.54,57.10,5,11.52,57.27,6,11.48,57.40,3,11.54,57.18,1,11.57,56.99,4,11.58,57.21
3,10.77,1:07.87,5,10.78,1:08.05,6,10.76,1:08.16,4,10.77,1:07.95,1,10.63,1:07.62,2,10.56,1:07.77
3,10.55,1:18.42,5,10.53,1:18.58,6,10.51,1:18.67,4,10.55,1:18.50,1,10.60,1:18.22,2,10.54,1:18.31
3,10.30,1:28.72,6,10.42,1:29.00,5,10.30,1:28.97,4,10.34,1:28.84,1,10.34,1:28.56,2,10.39,1:28.70
2,9.62,1:38.34,6,9.95,1:38.95,3,9.51,1:38.48,5,9.86,1:38.70,1,9.70,1:38.26,4,9.85,1:38.55
1,9.71,1:48.05,6,10.10,1:49.05,3,9.60,1:48.08,5,9.90,1:48.60,2,9.80,1:48.06,4,9.95,1:48.50
2,9.72,1:57.77,6,10.57,1:59.62,1,9.53,1:57.61,5,10.11,1:58.71,3,9.84,1:57.90,4,10.12,1:58.62
1,9.47,2:07.24,6,11.00,2:10.62,2,9.66,2:07.27,5,10.40,2:09.11,3,9.85,2:07.75,4,10.45,2:09.07
1,9.80,2:17.04,6,11.53,2:22.15,2,9.93,2:17.20,5,11.03,2:20.14,3,9.87,2:17.62,4,10.98,2:20.05
1,10.18,2:27.213,6,12.09,2:34.234,2,10.17,2:27.369,5,11.32,2:31.458,3,9.92,2:27.532,4,11.31,2:31.351
