Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
2,13.04,13.04,3,13.12,13.12,1,12.90,12.90,4,13.25,13.25
1,9.96,23.00,3,10.08,23.21,2,10.14,23.04,4,10.03,23.28
2,9.69,32.69,3,9.50,32.71,1,9.43,32.48,4,9.58,32.87
2,9.82,42.52,3,9.94,42.66,1,9.90,42.38,4,9.82,42.69
2,9.87,52.39,3,9.85,52.51,1,9.79,52.17,4,9.87,52.56
1,9.53,1:01.93,3,9.54,1:02.05,2,9.76,1:01.94,4,9.70,1:02.26
1,9.03,1:10.96,3,9.33,1:11.38,2,9.29,1:11.23,4,9.57,1:11.84
1,9.15,1:20.11,3,9.24,1:20.63,2,9.29,1:20.52,4,9.85,1:21.69
1,9.69,1:29.796,0,,DQ,2,9.80,1:30.318,3,11.19,1:32.876
