NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Jacqueline CHEN POSITION,Jacqueline CHEN LAP TIME,Jacqueline CHEN ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME
1,15.58,15.58,4,15.78,15.78,3,15.67,15.67,2,15.64,15.64
1,12.62,28.20,4,12.80,28.58,2,12.65,28.32,3,12.82,28.46
1,12.01,40.21,3,11.81,40.39,2,11.97,40.29,4,11.95,40.41
2,11.09,51.30,1,10.83,51.22,4,11.18,51.47,3,10.96,51.37
2,10.70,1:02.00,1,10.57,1:01.79,4,10.86,1:02.33,3,10.79,1:02.16
1,9.80,1:11.80,2,10.27,1:12.06,4,10.09,1:12.42,3,10.14,1:12.30
1,9.91,1:21.71,2,10.14,1:22.20,4,10.07,1:22.49,3,10.06,1:22.36
1,9.94,1:31.65,2,10.39,1:32.59,4,10.29,1:32.78,3,10.32,1:32.68
1,10.20,1:41.847,2,10.73,1:43.312,4,10.73,1:43.501,3,10.75,1:43.428
