LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME
2,13.80,13.80,3,13.94,13.94,4,14.07,14.07,1,13.69,13.69
2,9.97,23.77,3,9.92,23.86,4,9.92,23.99,1,9.88,23.57
3,9.53,33.30,2,9.33,33.19,4,9.46,33.45,1,9.51,33.08
3,9.10,42.40,2,9.11,42.30,4,9.15,42.60,1,9.13,42.21
3,8.83,51.23,1,8.72,51.02,4,8.76,51.36,2,8.91,51.12
3,8.93,1:00.16,1,8.91,59.93,4,8.93,1:00.29,2,8.91,1:00.03
3,8.97,1:09.13,1,9.08,1:09.01,4,9.02,1:09.31,2,9.09,1:09.12
1,8.78,1:17.91,2,9.17,1:18.18,3,8.98,1:18.29,4,9.19,1:18.31
1,9.07,1:26.969,2,9.33,1:27.492,3,9.28,1:27.554,4,9.37,1:27.667
