Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
4,9.98,9.98,3,9.86,9.86,5,10.07,10.07,1,9.62,9.62,6,10.23,10.23,2,9.74,9.74
4,15.41,25.39,3,15.39,25.25,5,15.46,25.53,1,15.26,24.88,6,15.41,25.64,2,15.32,25.06
4,14.39,39.78,3,14.43,39.68,5,14.37,39.90,1,14.46,39.34,6,14.39,40.03,2,14.45,39.51
4,14.20,53.98,6,14.43,54.11,3,14.07,53.97,1,14.32,53.66,5,14.05,54.08,2,14.31,53.82
4,10.83,1:04.81,6,10.85,1:04.96,3,10.75,1:04.72,1,10.96,1:04.62,5,10.80,1:04.88,2,10.88,1:04.70
4,10.12,1:14.93,6,10.22,1:15.18,3,10.13,1:14.85,1,10.00,1:14.62,5,10.15,1:15.03,2,10.02,1:14.72
2,10.27,1:25.20,6,10.41,1:25.59,4,10.50,1:25.35,1,10.49,1:25.11,5,10.44,1:25.47,3,10.51,1:25.23
1,9.70,1:34.90,6,9.90,1:35.49,4,9.94,1:35.29,2,9.97,1:35.08,5,9.92,1:35.39,3,9.96,1:35.19
1,9.75,1:44.65,5,10.02,1:45.51,2,9.85,1:45.14,4,10.42,1:45.50,3,9.93,1:45.32,6,10.38,1:45.57
1,10.00,1:54.65,3,9.75,1:55.26,2,9.72,1:54.86,5,10.54,1:56.04,4,9.99,1:55.31,6,10.76,1:56.33
1,9.99,2:04.64,3,9.64,2:04.90,2,9.89,2:04.75,5,10.45,2:06.49,4,10.01,2:05.32,6,10.52,2:06.85
1,10.07,2:14.71,3,9.92,2:14.82,2,10.05,2:14.80,5,10.68,2:17.17,4,10.32,2:15.64,6,10.93,2:17.78
2,10.15,2:24.86,1,9.72,2:24.54,3,10.19,2:24.99,5,11.04,2:28.21,4,10.93,2:26.57,6,11.58,2:29.36
2,10.16,2:35.018,1,10.06,2:34.591,3,10.31,2:35.296,5,11.49,2:39.700,4,11.71,2:38.280,0,,PEN
