Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,14.05,14.05,4,14.36,14.36,1,13.92,13.92,3,14.18,14.18
2,10.41,24.46,4,10.33,24.69,1,10.45,24.37,3,10.36,24.54
3,9.68,34.14,4,9.54,34.23,1,9.55,33.92,2,9.50,34.04
3,9.25,43.39,4,9.28,43.51,1,9.27,43.19,2,9.25,43.29
4,9.32,52.71,2,8.99,52.50,1,9.30,52.49,3,9.29,52.58
4,9.23,1:01.94,1,8.87,1:01.37,2,9.26,1:01.75,3,9.20,1:01.78
4,9.22,1:11.16,1,9.16,1:10.53,3,9.29,1:11.04,2,9.12,1:10.90
4,9.39,1:20.55,1,9.25,1:19.78,3,9.48,1:20.52,2,9.40,1:20.30
3,9.64,1:30.190,1,9.53,1:29.310,4,10.05,1:30.561,2,9.58,1:29.873
