Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Polona PEUNIK POSITION,Polona PEUNIK LAP TIME,Polona PEUNIK ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
2,7.336,7.336,1,7.166,7.166,4,7.790,7.790,3,7.746,7.746
2,10.033,17.369,1,9.641,16.806,4,10.497,18.286,3,9.944,17.690
3,9.913,27.282,1,9.632,26.438,4,10.265,28.551,2,9.530,27.220
3,9.608,36.890,1,9.734,36.171,4,10.558,39.108,2,9.583,36.802
3,10.39,47.277,1,10.37,46.534,4,10.88,49.982,2,10.01,46.810
