Rumiana DIMITROVA POSITION,Rumiana DIMITROVA LAP TIME,Rumiana DIMITROVA ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
6,10.90,10.90,2,10.63,10.63,5,10.79,10.79,3,10.70,10.70,4,10.71,10.71,7,10.91,10.91,1,10.47,10.47
7,13.26,24.16,3,13.19,23.82,5,13.18,23.97,2,12.79,23.49,6,13.36,24.07,4,13.05,23.96,1,12.91,23.38
3,10.94,35.10,5,11.56,35.38,1,10.93,34.90,4,11.66,35.15,7,11.57,35.64,6,11.53,35.49,2,11.67,35.05
4,11.08,46.18,7,11.12,46.50,1,10.99,45.89,3,10.95,46.10,5,10.64,46.28,6,10.87,46.36,2,10.93,45.98
4,11.10,57.28,7,11.18,57.68,1,11.09,56.98,3,11.07,57.17,5,11.10,57.38,6,11.14,57.50,2,11.09,57.07
4,11.14,1:08.42,7,11.08,1:08.76,1,11.12,1:08.10,3,11.16,1:08.33,4,11.04,1:08.42,6,11.05,1:08.55,2,11.15,1:08.22
6,10.62,1:19.04,7,10.41,1:19.17,2,10.54,1:18.64,4,10.53,1:18.86,1,10.09,1:18.51,3,10.27,1:18.82,5,10.77,1:18.99
5,9.87,1:28.91,6,9.89,1:29.06,2,9.97,1:28.61,4,9.95,1:28.81,1,10.00,1:28.51,3,9.89,1:28.71,7,10.49,1:29.48
5,9.89,1:38.80,6,9.88,1:38.94,2,9.84,1:38.45,4,9.85,1:38.66,1,9.84,1:38.35,3,9.82,1:38.53,7,10.56,1:40.04
6,10.06,1:48.86,4,9.65,1:48.59,2,9.95,1:48.40,5,9.98,1:48.64,1,9.87,1:48.22,3,9.93,1:48.46,7,10.88,1:50.92
6,10.21,1:59.07,4,9.88,1:58.47,2,9.90,1:58.30,5,9.99,1:58.63,1,9.68,1:57.90,3,9.90,1:58.36,7,11.49,2:02.41
6,10.67,2:09.74,2,9.65,2:08.12,4,10.12,2:08.42,5,9.98,2:08.61,1,9.79,2:07.69,3,9.89,2:08.25,7,12.03,2:14.44
6,11.03,2:20.77,2,9.25,2:17.37,4,10.26,2:18.68,5,10.19,2:18.80,1,9.64,2:17.33,3,9.98,2:18.23,7,12.91,2:27.35
6,11.53,2:32.30,1,9.55,2:26.92,0,,PHOTO,0,,PHOTO,2,9.70,2:27.03,3,10.57,2:28.80,7,12.53,2:39.88
