SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
1,13.03,13.03,3,13.20,13.20,2,13.12,13.12,4,13.27,13.27
1,10.02,23.05,4,10.03,23.23,2,10.02,23.14,3,9.94,23.21
2,9.68,32.73,4,9.78,33.01,1,9.49,32.63,3,9.67,32.88
2,9.27,42.00,4,9.25,42.26,1,9.28,41.91,3,9.28,42.16
2,9.13,51.13,4,9.08,51.34,1,9.11,51.02,3,9.09,51.25
2,8.94,1:00.07,3,8.86,1:00.20,1,8.97,59.99,4,9.27,1:00.52
2,8.96,1:09.03,3,8.98,1:09.18,1,8.93,1:08.92,4,9.22,1:09.74
2,8.87,1:17.90,3,9.10,1:18.28,1,8.79,1:17.71,4,9.37,1:19.11
2,9.08,1:26.974,3,9.34,1:27.619,1,8.92,1:26.630,4,9.62,1:28.729
