BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
4,13.37,13.37,5,13.56,13.56,2,13.06,13.06,3,13.20,13.20,1,12.95,12.95
3,9.83,23.20,5,9.86,23.42,2,10.05,23.11,4,10.02,23.22,1,10.08,23.03
3,9.95,33.15,5,10.01,33.43,2,9.96,33.07,4,10.00,33.22,1,9.91,32.94
3,9.75,42.90,4,9.55,42.98,2,9.72,42.79,5,9.79,43.01,1,9.74,42.68
3,9.85,52.75,4,9.90,52.88,2,9.84,52.63,5,9.90,52.91,1,9.91,52.59
3,9.62,1:02.37,4,9.53,1:02.41,1,9.40,1:02.03,5,9.67,1:02.58,2,9.56,1:02.15
4,9.49,1:11.86,3,9.21,1:11.62,1,9.44,1:11.47,5,9.47,1:12.05,2,9.41,1:11.56
4,9.37,1:21.23,3,9.45,1:21.07,1,9.42,1:20.89,5,9.40,1:21.45,2,9.42,1:20.98
3,9.45,1:30.675,0,,PEN,1,9.58,1:30.461,4,9.66,1:31.101,2,9.69,1:30.663
