Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
1,12.83,12.83,2,12.92,12.92,3,13.01,13.01,4,13.11,13.11
2,9.69,22.52,3,9.68,22.60,1,9.38,22.39,4,9.58,22.69
4,9.39,31.91,2,9.23,31.83,1,9.33,31.72,3,9.18,31.87
3,9.13,41.04,2,9.12,40.95,1,9.12,40.84,4,9.26,41.13
3,8.98,50.02,2,9.01,49.96,1,9.04,49.88,4,8.92,50.05
3,9.21,59.23,2,9.16,59.12,1,9.12,59.00,4,9.28,59.33
4,9.14,1:08.37,2,8.92,1:08.04,1,9.01,1:08.01,3,8.88,1:08.21
4,8.90,1:17.27,1,8.89,1:16.93,2,9.04,1:17.05,3,9.02,1:17.23
4,10.09,1:27.358,1,8.96,1:25.890,2,9.11,1:26.154,3,9.44,1:26.662
