HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME,Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME
3,14.95,14.95,2,14.71,14.71,1,14.58,14.58,4,15.08,15.08
3,10.61,25.56,2,10.63,25.34,1,10.64,25.22,4,10.58,25.66
3,9.96,35.52,2,10.04,35.38,1,10.07,35.29,4,9.96,35.62
2,10.55,46.07,1,10.10,45.48,4,11.13,46.42,3,10.65,46.27
2,9.40,55.47,1,9.75,55.23,4,11.90,58.32,3,10.11,56.38
2,9.65,1:05.12,1,9.75,1:04.98,4,12.01,1:10.33,3,10.08,1:06.46
2,9.75,1:14.87,1,9.74,1:14.72,4,13.00,1:23.33,3,10.39,1:16.85
2,9.91,1:24.78,1,9.93,1:24.65,4,13.82,1:37.15,3,11.37,1:28.22
2,10.05,1:34.829,1,10.08,1:34.722,4,12.41,1:49.552,3,12.06,1:40.279
