Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Min-Kyung CHOI POSITION,Min-Kyung CHOI LAP TIME,Min-Kyung CHOI ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
2,8.213,8.213,1,8.198,8.198,3,8.279,8.279,4,8.535,8.535,6,8.897,8.897,5,8.595,8.595
1,10.826,19.038,2,10.955,19.152,3,10.928,19.207,4,10.692,19.227,6,10.735,19.632,5,10.685,19.280
1,10.368,29.406,2,10.321,29.473,4,10.338,29.545,3,10.307,29.533,6,10.306,29.938,5,10.599,29.878
3,10.019,39.424,6,10.301,39.773,2,9.828,39.373,4,10.054,39.586,5,9.775,39.713,1,9.419,39.297
1,9.754,49.178,2,9.571,49.343,5,10.148,49.520,3,9.882,49.468,6,10.097,49.809,4,10.194,49.490
1,10.523,59.701,4,10.648,59.991,2,10.323,59.843,5,10.776,1:00.244,6,10.592,1:00.400,3,10.459,59.949
1,10.863,1:10.563,3,10.948,1:10.938,2,10.878,1:10.721,5,10.778,1:11.021,6,10.750,1:11.150,4,11.024,1:10.972
3,10.395,1:20.957,5,10.348,1:21.285,2,10.028,1:20.749,6,10.296,1:21.316,4,10.124,1:21.274,1,9.668,1:20.640
4,10.390,1:31.347,6,10.597,1:31.882,3,10.455,1:31.204,5,10.254,1:31.569,1,9.619,1:30.893,2,10.333,1:30.972
4,9.859,1:41.205,6,10.221,1:42.103,3,9.899,1:41.103,5,10.278,1:41.847,1,9.729,1:40.622,2,10.082,1:41.054
2,9.765,1:50.969,6,11.173,1:53.276,3,9.890,1:50.992,5,10.438,1:52.284,1,10.168,1:50.789,4,10.087,1:51.140
3,10.258,2:01.227,6,12.481,2:05.757,2,10.096,2:01.088,5,10.644,2:02.928,1,10.128,2:00.917,4,10.509,2:01.648
1,9.967,2:11.194,6,12.439,2:18.195,3,10.240,2:11.327,5,11.423,2:14.350,2,10.342,2:11.258,4,10.137,2:11.785
1,10.10,2:21.293,6,13.23,2:31.425,3,11.07,2:22.393,5,11.82,2:26.164,2,10.26,2:21.516,4,11.98,2:23.760
