BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
3,9.84,9.84,2,9.72,9.72,4,10.00,10.00,1,9.67,9.67,5,10.18,10.18
3,12.48,22.32,2,12.52,22.24,4,12.44,22.44,1,12.42,22.09,5,12.38,22.56
4,11.89,34.21,2,11.84,34.08,1,11.57,34.01,3,12.04,34.13,5,11.85,34.41
3,10.72,44.93,2,10.77,44.85,1,10.74,44.75,5,10.91,45.04,4,10.61,45.02
3,10.49,55.42,2,10.54,55.39,1,10.51,55.26,5,10.54,55.58,4,10.52,55.54
3,9.77,1:05.19,2,9.79,1:05.18,1,9.81,1:05.07,5,9.81,1:05.39,4,9.75,1:05.29
3,9.65,1:14.84,2,9.58,1:14.76,1,9.59,1:14.66,4,9.56,1:14.95,5,9.81,1:15.10
3,9.81,1:24.65,2,9.81,1:24.57,1,9.81,1:24.47,4,9.81,1:24.76,5,9.71,1:24.81
4,9.64,1:34.29,3,9.56,1:34.13,1,9.55,1:34.02,5,9.63,1:34.39,2,9.24,1:34.05
4,9.20,1:43.49,3,9.25,1:43.38,2,9.25,1:43.27,5,9.21,1:43.60,1,9.11,1:43.16
4,8.98,1:52.47,2,8.88,1:52.26,3,9.00,1:52.27,5,9.05,1:52.65,1,9.03,1:52.19
5,9.29,2:01.76,1,9.07,2:01.33,3,9.23,2:01.50,4,9.04,2:01.69,2,9.15,2:01.34
5,9.65,2:11.41,1,9.12,2:10.45,3,9.18,2:10.68,4,9.32,2:11.01,2,9.24,2:10.58
5,10.22,2:21.622,1,9.40,2:19.844,3,9.46,2:20.140,4,9.57,2:20.577,2,9.44,2:20.019
