Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Betul YERDELEN POSITION,Betul YERDELEN LAP TIME,Betul YERDELEN ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
3,11.63,11.63,1,11.40,11.40,6,12.22,12.22,2,11.63,11.63,4,11.68,11.68,5,11.72,11.72
1,16.12,27.75,3,16.56,27.96,5,16.19,28.41,6,19.97,31.60,2,16.27,27.95,4,16.35,28.07
1,14.06,41.81,4,14.07,42.03,5,14.00,42.41,6,10.85,42.45,3,14.03,41.98,2,13.91,41.98
3,13.94,55.75,2,13.53,55.56,6,13.70,56.11,5,13.59,56.04,1,13.56,55.54,4,13.84,55.82
2,13.71,1:09.46,4,14.33,1:09.89,6,13.97,1:10.08,5,13.98,1:10.02,1,13.88,1:09.42,3,13.96,1:09.78
1,13.24,1:22.70,3,13.34,1:23.23,5,13.21,1:23.29,4,13.22,1:23.24,2,13.65,1:23.07,6,14.87,1:24.65
1,12.94,1:35.64,5,12.98,1:36.21,6,13.02,1:36.31,4,12.96,1:36.20,3,13.11,1:36.18,2,11.49,1:36.14
2,11.53,1:47.17,4,11.28,1:47.49,6,11.63,1:47.94,1,10.85,1:47.05,5,11.48,1:47.66,3,11.19,1:47.33
1,10.79,1:57.96,6,23.78,2:11.27,5,10.58,1:58.52,3,11.37,1:58.42,2,10.52,1:58.18,4,11.10,1:58.43
1,9.89,2:07.85,6,13.82,2:25.09,5,10.19,2:08.71,4,10.23,2:08.65,2,10.03,2:08.21,3,10.01,2:08.44
1,9.95,2:17.80,6,14.32,2:39.41,5,10.09,2:18.80,4,10.13,2:18.78,2,9.67,2:17.88,3,9.71,2:18.15
2,9.77,2:27.57,6,13.36,2:52.77,1,8.57,2:27.37,5,10.32,2:29.10,3,9.79,2:27.67,4,9.73,2:27.88
2,9.74,2:37.31,6,12.84,3:05.61,1,9.15,2:36.52,5,10.18,2:39.28,3,9.71,2:37.38,4,9.90,2:37.78
3,10.25,2:47.559,0,,notime,1,9.80,2:46.315,5,10.90,2:50.174,2,9.92,2:47.299,4,10.09,2:47.870
