MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,7.52,7.52,1,7.41,7.41,3,7.71,7.71,4,7.78,7.78,4,7.78,7.78
2,9.76,17.28,1,9.75,17.16,3,9.67,17.38,5,9.85,17.63,4,9.67,17.45
1,8.97,26.25,2,9.11,26.27,4,9.17,26.55,5,9.34,26.97,3,8.93,26.38
1,9.14,35.39,3,9.32,35.59,4,9.13,35.68,5,9.42,36.39,2,9.09,35.47
1,9.48,44.87,3,9.41,45.00,4,9.47,45.155,5,9.54,45.938,2,9.48,44.95
