Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME
2,9.99,9.99,4,10.30,10.30,1,9.77,9.77,5,10.46,10.46,6,10.48,10.48,3,10.12,10.12
2,13.39,23.38,4,13.36,23.66,1,13.44,23.21,5,13.30,23.76,6,13.41,23.89,3,13.39,23.51
2,12.55,35.93,4,12.56,36.22,1,12.57,35.78,5,12.54,36.30,6,12.51,36.40,3,12.53,36.04
2,12.33,48.26,4,12.25,48.47,1,12.35,48.13,5,12.31,48.61,6,12.31,48.71,3,12.31,48.35
1,11.75,1:00.01,5,11.69,1:00.16,3,12.01,1:00.14,6,11.85,1:00.46,2,11.33,1:00.04,4,11.80,1:00.15
2,10.27,1:10.28,3,10.16,1:10.32,5,10.34,1:10.48,6,10.28,1:10.74,1,10.15,1:10.19,4,10.27,1:10.42
2,10.50,1:20.78,3,10.50,1:20.82,6,20.44,1:30.92,4,10.39,1:21.13,1,10.47,1:20.66,5,10.75,1:21.17
2,10.41,1:31.19,3,10.50,1:31.32,6,17.37,1:48.29,4,10.31,1:31.44,1,10.42,1:31.08,5,10.40,1:31.57
2,10.58,1:41.77,4,10.66,1:41.98,6,14.74,2:03.03,5,10.68,1:42.12,1,10.55,1:41.63,3,10.26,1:41.83
2,9.93,1:51.70,4,9.85,1:51.83,6,12.38,2:15.41,5,9.87,1:51.99,1,9.93,1:51.56,3,9.97,1:51.80
3,9.48,2:01.18,4,9.57,2:01.40,6,12.04,2:27.45,2,9.12,2:01.11,1,9.49,2:01.05,5,10.07,2:01.87
3,9.30,2:10.48,4,9.35,2:10.75,6,11.71,2:39.16,1,9.00,2:10.11,2,9.27,2:10.32,5,9.75,2:11.62
3,9.15,2:19.63,4,9.68,2:20.43,6,11.54,2:50.70,1,9.01,2:19.12,2,9.13,2:19.45,5,10.02,2:21.64
3,9.36,2:28.982,4,10.25,2:30.678,5,17.52,3:08.214,1,9.46,2:28.579,2,9.37,2:28.816,0,,YC
