SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Gloria MALFATTI POSITION,Gloria MALFATTI LAP TIME,Gloria MALFATTI ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME
1,17.33,17.33,3,17.62,17.62,2,17.50,17.50,4,17.81,17.81
1,13.15,30.48,4,13.07,30.69,2,13.06,30.56,3,12.85,30.66
3,11.15,41.63,4,11.03,41.72,2,10.97,41.53,1,10.79,41.45
4,18.95,1:00.58,1,10.51,52.23,3,10.84,52.37,2,10.79,52.24
4,18.45,1:19.03,1,10.20,1:02.43,3,10.31,1:02.68,2,10.36,1:02.60
4,14.27,1:33.30,1,10.19,1:12.62,3,10.13,1:12.81,2,10.13,1:12.73
4,12.13,1:45.43,2,10.41,1:23.03,3,10.27,1:23.08,1,10.22,1:22.95
4,12.84,1:58.27,3,10.83,1:33.86,2,10.70,1:33.78,1,10.46,1:33.41
0,,notime,2,10.53,1:44.389,0,,PEN,1,10.68,1:44.085
